ParticleID,Frame,X,Y,Z
1.0,1.0,1361.0498630411184,560.0196285418156,1240.4556575579763
1.0,2.0,1368.0498630411184,567.0196285418156,1240.4556575579763
1.0,3.0,1375.0498630411184,574.0196285418156,1240.4556575579763
1.0,4.0,1382.0498630411184,581.0196285418156,1240.4556575579763
1.0,5.0,1389.0498630411184,588.0196285418156,1240.4556575579763
1.0,6.0,1396.0498630411184,595.0196285418156,1240.4556575579763
1.0,7.0,1403.0498630411184,602.0196285418156,1240.4556575579763
1.0,8.0,1410.0498630411184,609.0196285418156,1240.4556575579763
1.0,9.0,1417.0498630411184,616.0196285418156,1240.4556575579763
1.0,10.0,1424.0498630411184,623.0196285418156,1240.4556575579763
1.0,11.0,1431.0498630411184,630.0196285418156,1240.4556575579763
1.0,12.0,1438.0498630411184,637.0196285418156,1240.4556575579763
1.0,13.0,1445.0498630411184,644.0196285418156,1240.4556575579763
1.0,14.0,1452.0498630411184,651.0196285418156,1240.4556575579763
1.0,15.0,1459.0498630411184,658.0196285418156,1240.4556575579763
1.0,16.0,1466.0498630411184,665.0196285418156,1240.4556575579763
1.0,17.0,1473.0498630411184,672.0196285418156,1240.4556575579763
1.0,18.0,1480.0498630411184,679.0196285418156,1240.4556575579763
1.0,19.0,1487.0498630411184,686.0196285418156,1240.4556575579763
1.0,20.0,1494.0498630411184,693.0196285418156,1240.4556575579763
1.0,21.0,1501.0498630411184,700.0196285418156,1240.4556575579763
1.0,22.0,1508.0498630411184,707.0196285418156,1240.4556575579763
1.0,23.0,1515.0498630411184,714.0196285418156,1240.4556575579763
1.0,24.0,1522.0498630411184,721.0196285418156,1240.4556575579763
1.0,25.0,1529.0498630411184,728.0196285418156,1240.4556575579763
1.0,26.0,1536.0498630411184,735.0196285418156,1240.4556575579763
1.0,27.0,1543.0498630411184,742.0196285418156,1240.4556575579763
1.0,28.0,1550.0498630411184,749.0196285418156,1240.4556575579763
1.0,29.0,1557.0498630411184,756.0196285418156,1240.4556575579763
1.0,30.0,1564.0498630411184,763.0196285418156,1240.4556575579763
1.0,31.0,1571.0498630411184,770.0196285418156,1240.4556575579763
1.0,32.0,1578.0498630411184,777.0196285418156,1240.4556575579763
1.0,33.0,1585.0498630411184,784.0196285418156,1240.4556575579763
1.0,34.0,1592.0498630411184,791.0196285418156,1240.4556575579763
1.0,35.0,1599.0498630411184,798.0196285418156,1240.4556575579763
1.0,36.0,1606.0498630411184,805.0196285418156,1240.4556575579763
1.0,37.0,1613.0498630411184,812.0196285418156,1240.4556575579763
1.0,38.0,1620.0498630411184,819.0196285418156,1240.4556575579763
1.0,39.0,1627.0498630411184,826.0196285418156,1240.4556575579763
1.0,40.0,1634.0498630411184,833.0196285418156,1240.4556575579763
1.0,41.0,1641.0498630411184,840.0196285418156,1240.4556575579763
1.0,42.0,1648.0498630411184,847.0196285418156,1240.4556575579763
1.0,43.0,1655.0498630411184,854.0196285418156,1240.4556575579763
1.0,44.0,1662.0498630411184,861.0196285418156,1240.4556575579763
1.0,45.0,1669.0498630411184,868.0196285418156,1240.4556575579763
